Epoch,Layer,Node,WeightType,WeightIndex,WeightValue
0,0,0,input,0,1
0,0,0,output,0,0.243991
0,0,0,output,1,0.717761
0,0,0,output,2,0.950397
0,0,0,bias,0,0.583474
0,0,1,input,0,-1
0,0,1,output,0,0.920025
0,0,1,output,1,0.808085
0,0,1,output,2,0.457373
0,0,1,bias,0,4.94694
0,0,2,input,0,-1
0,0,2,output,0,-1.8434
0,0,2,output,1,1.08349
0,0,2,output,2,-7.05206
0,0,2,bias,0,-3.24072
0,1,0,input,0,0.243991
0,1,0,input,1,0.920025
0,1,0,input,2,-1.8434
0,1,0,output,0,0.175728
0,1,0,output,1,0.227636
0,1,0,output,2,0.292719
0,1,0,bias,0,-15.166
0,1,1,input,0,0.717761
0,1,1,input,1,0.808085
0,1,1,input,2,1.08349
0,1,1,output,0,0.897996
0,1,1,output,1,0.807083
0,1,1,output,2,0.74217
0,1,1,bias,0,0.12002
0,1,2,input,0,0.950397
0,1,2,input,1,0.457373
0,1,2,input,2,-7.05206
0,1,2,output,0,0.882502
0,1,2,output,1,0.900907
0,1,2,output,2,0.895846
0,1,2,bias,0,1.80131
0,2,0,input,0,0.175728
0,2,0,input,1,0.897996
0,2,0,input,2,0.882502
0,2,0,output,0,0.175707
0,2,0,bias,0,-58.1458
0,2,1,input,0,0.227636
0,2,1,input,1,0.807083
0,2,1,input,2,0.900907
0,2,1,output,0,0.227629
0,2,1,bias,0,-55.124
0,2,2,input,0,0.292719
0,2,2,input,1,0.74217
0,2,2,input,2,0.895846
0,2,2,output,0,0.292693
0,2,2,bias,0,-49.7583
1,0,0,input,0,1
1,0,0,output,0,0.429641
1,0,0,output,1,0.75453
1,0,0,output,2,1.03733
1,0,0,bias,0,-0.530648
1,0,1,input,0,-1
1,0,1,output,0,1.36692
1,0,1,output,1,0.837843
1,0,1,output,2,0.458967
1,0,1,bias,0,5.04416
1,0,2,input,0,-1
1,0,2,output,0,-2.45925
1,0,2,output,1,1.06791
1,0,2,output,2,-7.05252
1,0,2,bias,0,-3.72846
1,1,0,input,0,0.429641
1,1,0,input,1,1.36692
1,1,0,input,2,-2.45925
1,1,0,output,0,0.0188472
1,1,0,output,1,0.0713092
1,1,0,output,2,0.136451
1,1,0,bias,0,-22.5422
1,1,1,input,0,0.75453
1,1,1,input,1,0.837843
1,1,1,input,2,1.06791
1,1,1,output,0,0.909994
1,1,1,output,1,0.762314
1,1,1,output,2,0.667474
1,1,1,bias,0,-0.344289
1,1,2,input,0,1.03733
1,1,2,input,1,0.458967
1,1,2,input,2,-7.05252
1,1,2,output,0,0.979453
1,1,2,output,1,0.967195
1,1,2,output,2,0.982293
1,1,2,bias,0,5.14371
1,2,0,input,0,0.0188472
1,2,0,input,1,0.909994
1,2,0,input,2,0.979453
1,2,0,output,0,0.00566158
1,2,0,bias,0,-70.5688
1,2,1,input,0,0.0713092
1,2,1,input,1,0.762314
1,2,1,input,2,0.967195
1,2,1,output,0,0.022465
1,2,1,bias,0,-65.5915
1,2,2,input,0,0.136451
1,2,2,input,1,0.667474
1,2,2,input,2,0.982293
1,2,2,output,0,0.0469409
1,2,2,bias,0,-62.7819
2,0,0,input,0,1
2,0,0,output,0,0.0476974
2,0,0,output,1,0.738754
2,0,0,output,2,0.69292
2,0,0,bias,0,-1.11239
2,0,1,input,0,-1
2,0,1,output,0,1.45385
2,0,1,output,1,0.83899
2,0,1,output,2,0.459191
2,0,1,bias,0,4.96532
2,0,2,input,0,-1
2,0,2,output,0,-1.8635
2,0,2,output,1,1.06802
2,0,2,output,2,-7.05258
2,0,2,bias,0,-2.4049
2,1,0,input,0,0.0476974
2,1,0,input,1,1.45385
2,1,0,input,2,-1.8635
2,1,0,output,0,6.78494e-06
2,1,0,output,1,0.00712209
2,1,0,output,2,0.013633
2,1,0,bias,0,-20.8934
2,1,1,input,0,0.738754
2,1,1,input,1,0.83899
2,1,1,input,2,1.06802
2,1,1,output,0,0.911152
2,1,1,output,1,0.763962
2,1,1,output,2,0.666751
2,1,1,bias,0,-0.543137
2,1,2,input,0,0.69292
2,1,2,input,1,0.459191
2,1,2,input,2,-7.05258
2,1,2,output,0,19.9293
2,1,2,output,1,0.987403
2,1,2,output,2,0.994811
2,1,2,bias,0,22.3623
2,2,0,input,0,6.78494e-06
2,2,0,input,1,0.911152
2,2,0,input,2,19.9293
2,2,0,output,0,5.64385e-09
2,2,0,bias,0,-2058.3
2,2,1,input,0,0.00712209
2,2,1,input,1,0.763962
2,2,1,input,2,0.987403
2,2,1,output,0,8.63166e-05
2,2,1,bias,0,-73.3149
2,2,2,input,0,0.013633
2,2,2,input,1,0.666751
2,2,2,input,2,0.994811
2,2,2,output,0,0.000367102
2,2,2,bias,0,-69.2003
3,0,0,input,0,1
3,0,0,output,0,1.1138e-05
3,0,0,output,1,0.737329
3,0,0,output,2,0.679213
3,0,0,bias,0,-2.7759
3,0,1,input,0,-1
3,0,1,output,0,1.50098
3,0,1,output,1,0.839143
3,0,1,output,2,0.459212
3,0,1,bias,0,4.92046
3,0,2,input,0,-1
3,0,2,output,0,-1.70262
3,0,2,output,1,1.06791
3,0,2,output,2,-7.05259
3,0,2,bias,0,-1.70694
3,1,0,input,0,1.1138e-05
3,1,0,input,1,1.50098
3,1,0,input,2,-1.70262
3,1,0,output,0,7.17734e-12
3,1,0,output,1,0.00433818
3,1,0,output,2,0.00394156
3,1,0,bias,0,-14.5091
3,1,1,input,0,0.737329
3,1,1,input,1,0.839143
3,1,1,input,2,1.06791
3,1,1,output,0,0.911153
3,1,1,output,1,0.762743
3,1,1,output,2,0.665302
3,1,1,bias,0,-0.544334
3,1,2,input,0,0.679213
3,1,2,input,1,0.459212
3,1,2,input,2,-7.05259
3,1,2,output,0,19.9294
3,1,2,output,1,0.992896
3,1,2,output,2,1.05049
3,1,2,bias,0,23.4687
3,2,0,input,0,7.17734e-12
3,2,0,input,1,0.911153
3,2,0,input,2,19.9294
3,2,0,output,0,6.42498e-15
3,2,0,bias,0,-1957.71
3,2,1,input,0,0.00433818
3,2,1,input,1,0.762743
3,2,1,input,2,0.992896
3,2,1,output,0,1.95161e-06
